#	1=场景AI专属，0=棋子AI专属	函数名称（Lua）	函数名称（简称）	描述	返回值类型（0表示没有返回值）	是否可用于CallFunction	注释	标签
1100	1	LevelAIHelper.LevelSuccess	胜负判定——使关卡胜利	使关卡胜利	0	1		"tag1,tag3"
1101	1	LevelAIHelper.LevelFailed	胜负判定——使关卡失败	使关卡失败	0	1		tag2
1102	1	LevelAIHelper.AliveCount	势力——势力存活个数	势力{{number}}存活个数	number	0		tag3
1103	1	LevelAIHelper.NewEnemyValkyrja	棋子创建——创建敌方棋子	创建敌方棋子 id{{number}}cellX{{number}}cellZ{{number}}layer{{number}}dir{{dir}}guid{{number}}	0	1		
1104	1	LevelAIHelper.NewAssistor	棋子创建——创建助战棋子	创建助战棋子 id{{number}}cellX{{number}}cellZ{{number}}layer{{number}}dir{{dir}}guid{{number}}	0	1		
1105	1	LevelAIHelper.LeaveLevel	其他——离开关卡	离开关卡	0	1		
1106	1	LevelAIHelper.PlayStory	剧情播放——播放剧情对话	播放剧情对话 id{{number}}	0	1		
1107	1	LevelAIHelper.PlayTimeLine	剧情播放——播放TimeLine	播放TimeLine id{{number}}	0	1		
1108	1	LevelAIHelper.HideOrRecoverAllUI	界面——隐藏或恢复所有界面	隐藏或恢复所有界面 是否隐藏{{bool}}	0	1		
1111	1	LevelAIHelper.OpenFormUI	界面——打开界面（2个参数）	界面 id{{number}} 参数1{{number}} 参数2 {{number}}	0	1		
1114	1	LevelAIHelper.OpenFormUIWithCloseCallback	界面——打开界面并等待输入（2个参数）	打开界面id{{number}}并等待输入 参数1{{number}} 参数2{{number}}	0	1		
1115	1	LevelAIHelper.PlayerFormation	其他——自动上阵	自动上阵	0	1		
1116	1	LevelAIHelper.PrepareFinish	其他——自动出战	自动出战	0	1		
1117	1	LevelAIHelper.Add	计算——加法	{{number}} + {{number}}	number	1		
1118	1	LevelAIHelper.minus	计算——减法	{{number}} - {{number}}	number	1		
1119	1	LevelAIHelper.ChangeValkyrjaDir	棋子朝向——按角速度改变朝向	按角速度改变朝向 guid {{number}}方向{{number}}角速度{{number}}	0	1		
